date,sessions_total,sessions_google_ads,sessions_meta_ads,sessions_tiktok_ads,sessions_email,sessions_organic,sessions_affiliates,conversion_rate,orders,aov_gbp,gross_sales_gbp,discounts_gbp,refunds_gbp,transaction_fees_gbp,marketing_spend_google_gbp,marketing_spend_meta_gbp,marketing_spend_tiktok_gbp,marketing_spend_other_gbp,marketing_spend_total_gbp,net_sales_gbp,contrib_after_fees_gbp,mer,roas_google,roas_meta,roas_tiktok,new_customers,returning_customers,subs_active,mrr_gbp,google_impressions,google_clicks,google_ctr,google_cpc_gbp,google_cpm_gbp,meta_impressions,meta_clicks,meta_ctr,meta_cpc_gbp,meta_cpm_gbp,tiktok_impressions,tiktok_clicks,tiktok_ctr,tiktok_cpc_gbp,tiktok_cpm_gbp,email_sends,email_open_rate,email_click_rate,region_uk_pct,region_us_pct,region_eu_pct,revenue_google,revenue_meta,revenue_tiktok,revenue_other,orders_google,orders_meta,orders_tiktok,orders_other,conversion_rate_google,conversion_rate_meta,conversion_rate_tiktok,conversion_rate_other,cpa_google,cpa_meta,cpa_tiktok,cpa_other
01/01/2021,16312,4507,4739,293,2137,2955,1681,2.6,424,47.53,20152.72,837.13,486.92,941.43,2592.89,2081.02,737.39,452.82,5864.12,18828.67,17887.24,3.44,7.77,9.68,27.33,274,150,924,11088,74035,2589,3.5,1,35.02,101776,2691,2.64,0.77,20.45,18541,202,1.09,3.65,39.77,2632,22.39,5.2,44.93,26.59,28.48,20134.14,20152.27,20155.01,8.68,153.61,153.72,153.80,8.96,3.41,3.24,52.49,0.42,16.88,13.53,4.79,50.56
01/02/2021,20320,6521,6542,470,2639,3668,480,3.03,617,45.62,28147.54,3400.99,400.56,1217.3,4213.08,3293.87,1525.15,1012.82,10044.92,24345.99,23128.69,2.8,6.68,8.55,18.46,390,227,920,11040,156170,4322,2.77,0.97,26.98,229523,4540,1.98,0.73,14.35,12412,340,2.74,4.49,122.88,2851,30.14,4.87,34.99,28.37,36.64,28138.51,28173.46,28177.06,27.48,222.36,222.64,222.70,24.26,3.41,3.41,47.38,0.92,18.95,14.79,6.85,41.72
01/03/2021,20477,5947,6534,445,2467,3737,1347,2.64,540,46.26,24980.4,2790.12,386.31,1090.2,3021.55,2922.69,1340.65,863.43,8148.32,21803.97,20713.77,3.07,8.27,8.55,18.63,342,198,898,10776,134078,4050,3.02,0.75,22.54,276588,4078,1.47,0.72,10.57,14327,311,2.17,4.31,93.58,2395,32.54,2.85,53.28,29.4,17.32,24996.92,24993.92,24981.41,85.44,213.35,213.33,213.22,15.09,3.59,3.27,47.92,0.61,14.16,13.71,6.29,57.22
01/04/2021,11666,3529,4058,271,1380,2073,355,2.48,289,48.87,14123.43,909.53,204.51,650.47,1799.3,1504.34,646,407.92,4357.56,13009.39,12358.92,3.24,7.85,9.39,21.86,180,109,881,10572,72225,2575,3.57,0.7,24.91,152996,1994,1.3,0.75,9.83,8793,184,2.09,3.51,73.47,1552,27.98,4.24,52.71,31.66,15.63,14118.57,14121.75,14126.96,13.55,115.87,115.89,115.93,10.19,3.28,2.86,42.79,0.74,15.53,12.98,6.29,40.03
01/05/2021,16103,5438,4672,382,1804,2681,1126,2.43,391,47.86,18713.26,836.98,268.96,880.37,2526.28,2149.53,844.56,170.65,5691.02,17607.32,16726.95,3.29,7.41,8.71,22.16,248,143,871,10452,120132,3995,3.33,0.63,21.03,231404,3082,1.33,0.7,9.29,7099,216,3.04,3.91,118.97,2022,33.91,3.65,48.54,24.31,27.15,18718.42,18719.67,18724.82,29.02,146.84,146.90,146.97,11.28,2.70,3.14,38.47,0.63,17.20,14.63,5.74,15.14
01/06/2021,16944,4970,5242,374,1918,3182,1258,2.45,415,48.95,20314.25,822.56,429.86,953.09,3321.27,2697.5,914.21,743.35,7676.33,19061.83,18108.74,2.65,6.12,7.53,22.22,264,151,866,10392,88660,3043,3.43,1.09,37.46,145549,3048,2.09,0.89,18.53,8981,176,1.96,5.19,101.79,2305,30.12,3.72,53.01,28.05,18.94,20332.75,20310.99,20317.69,107.48,159.41,159.27,159.32,19.60,3.21,3.04,42.60,1.02,20.83,16.94,10.13,37.93
01/07/2021,16247,4859,4859,379,1840,2792,1518,2.57,418,50.35,21046.3,1414.95,382.69,962.43,2381.66,2263.65,833.96,575.62,6054.89,19248.66,18286.23,3.48,8.84,9.3,25.24,255,163,846,10152,105956,3521,3.32,0.68,22.48,172533,3091,1.79,0.73,13.12,7802,173,2.22,4.82,106.89,2202,25.1,4.17,49.47,30.62,19.91,21054.18,21055.15,21059.88,20.70,171.42,171.42,171.47,9.46,3.53,3.53,45.25,0.51,13.89,13.21,4.86,60.86
01/08/2021,17263,5740,5218,462,2122,3142,579,2.54,438,49.63,21737.94,1794.07,423.23,976.03,3586.42,2720.68,869.1,834.4,8010.6,19520.64,18544.61,2.71,6.06,7.99,25.01,238,200,834,10008,105677,3315,3.14,1.08,33.94,151618,3854,2.54,0.71,17.94,16860,282,1.67,3.08,51.55,2757,25.93,3.06,41.78,38.7,19.52,21746.63,21749.51,21739.64,63.16,178.39,178.41,178.35,6.73,3.11,3.42,38.61,0.76,20.11,15.26,10.05,123.98
01/09/2021,16429,4812,5466,504,1849,3042,756,2.31,379,46.05,17452.95,1668.67,387.61,769.83,2239.81,1840.29,802.05,170.65,5052.8,15396.67,14626.84,3.45,7.79,9.48,21.76,227,152,820,9840,99784,3208,3.21,0.7,22.45,104120,2542,2.44,0.72,17.67,11352,347,3.06,2.31,70.65,1831,27.96,3.76,35.63,34.52,29.85,17457.67,17445.04,17452.35,95.24,140.36,140.26,140.32,10.24,2.92,2.57,27.84,1.35,15.96,13.12,10.36,16.67
01/10/2021,15507,4715,4764,410,1871,2956,791,2.4,372,47.55,17688.6,1010.18,302.76,818.78,2263.96,1709.98,699.96,432.86,5106.76,16375.66,15556.88,3.46,7.81,10.34,25.27,215,157,808,9696,81217,2871,3.53,0.79,27.88,166883,3483,2.09,0.49,10.25,6820,205,3.01,3.41,102.63,2396,30.63,3.87,40.71,31.15,28.15,17686.73,17682.50,17680.78,87.85,135.90,135.88,135.87,9.86,2.88,2.85,33.14,0.89,16.66,12.59,6.93,43.91
